ยาสามัญ,สมุนไพร,ข้อบ่งใช้,ข้อควรระวัง
"Paracetamol
(​​acetaminophen)","['Turmeric (ขมิ้น) ', ' Elderberry (เอลเดอร์เบอร์รี )']","['ช่วยต้านการอักเสบ ลดปวดไขข้อ เสริมภูมิคุ้มกัน ลดไข้ ต้านไวรัส ', ' บรรเทาอาการปวดหัว ลดไข้ ลดอาการอักเสบ']","['ไม่ควรใช้ในเด็กและหญิงตั้งครรภ์ ไม่ควรใช้ในผู้ที่เป็นนิ่วในถุงน้ำดีหรือท่อน้ำดีอุดตัน ระมัดระวังในการกินร่วมกับยาละลายลิ่มเลือด ยาต้านการแข็งตัวของเลือด เพราะจะไปเสริมฤทธิ์ยา ', ' สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม']"
Ibuprofen,"['Pomegranate (ทับทิม) ', ' Cranberry (แครนเบอร์รี่) ', ' Cinnamon (อบเชย)']","['ช่วยลดการอักเสบ ป้องกันไข้หวัด ป้องกันอาการอักเสบในช่องท้อง ', ' บรรเทาอาการไข้หวัด ', ' บรรเทาอาการปวด กระตุ้นการไหลเวียนของเลือด']","['ผู้ป่วยที่ต้องเข้ารับการผ่าตัดควรหยุดรับประทานทับทิมอย่างน้อย 2 สัปดาห์ เนื่องจากทับทิมส่งผลให้ความดันเลือดต่ำลง ', ' ไม่ควรใช้ในเด็กและหญิงตั้งครรภ์ ผู้ที่แพ้ยาแอสไพริน ผู้ที่กำลังใช้ยาวาร์ฟาริน ผู้ป่วยเบาหวาน ', ' เด็กที่มีอายุต่ำกว่า 2 ขวบ และสตรีมีครรภ์']"
Metformin,"['Elderberry (เอลเดอร์เบอร์รี) ', ' Turmeric (ขมิ้น)', 'tamarind(มะขาม)']","['ลดไขมันในเลือดและอาจช่วยควบคุมระดับน้ำตาลในเลือด ', ' ลดระดับน้ำตาลในเลือดลง', 'ยับยั้งการสร้างไขมันในร่างกาย']","['ไม่ควรใช้ในผู้มีโรคประจำตัวที่เกี่ยวกับระบบภูมิคุ้มกัน ผู้ที่ใช้ยาขับปัสสาวะ ', ' ผู้ป่วยโรคเบาหวานจึงรับประทานอย่างระมัดระวัง เพื่อป้องกันระดับน้ำตาลในเลือดต่ำเกินไป', 'การบริโภคมะขามมากเกินไปอาจทำให้ท้องเสีย']"
Amoxicillin,"['Elderberry (เอลเดอร์เบอร์รี) ', ' \nCamphor (การบูร)']","['ต้านเชื้อแบคทีเรีย บรรเทาอาการปวดศีรษะ อาการปวดข้อและกล้ามเนื้อ ', ' ต้านเชื้อแบคทีเรีย']","['สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม ทานได้ทั้งเด็กและผู้ใหญ่แต่ควรปรึกษาแพทย์ก่อนบริโภค ', ' รับประทานการบูรเพียงเล็กน้อย ห้ามรับประทานมากกว่า 3.5 กรัม สตรีมีครรภ์ควรหลีกเลี่ยงการรับประทาน']"
Azithromycin,"['Elderberry (เอลเดอร์เบอร์รี) ', ' Turmeric (ขมิ้น)']","['ต้านเชื้อแบคทีเรีย\n', ' ฆ่าเชื้อ ต้านการอักเส']","['สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม ทานได้ทั้งเด็กและผู้ใหญ่แต่ควรปรึกษาแพทย์ก่อนบริโภค ', ' สตรีมีครรภ์หรืออยู่ในช่วงให้นมบุตรไม่ควรรับประทานสารสกัดจากขมิ้นที่มีความเข้มข้นสูง']"
Lisinopril,"['Agarwood (ชาจากไม้กฤษณา) ', ' Gooseberry (มะขามป้อม) ', ' Cardamom (กระวาน)']","['ลดความดันโลหิตสูง ลดไขมันอุดตันในเส้นเลือด ', ' บำรุงเลือด ลดความดันเลือดสูง แก้น้ำเหลืองเสีย ', ' ควบคุมและลดความดันโลหิตสูง']","['ผู้ที่ต้องการรับประทานเพื่อบรรเทาอาการของโรค ควรอยู่ในการดูแลของแพทย์', 'ผู้ที่ควรระมัดระวัง ผู้ป่วยโรคเบาหวานที่ไม่สามารถควบคุมระดับน้ำตาลในเลือดได้ และผู้ที่ท้องเสียง่ายควรระวังการรับประทานมะขามป้อม', 'สตรีมีครรภ์และผู้ที่ให้นมบุตรควรเลี่ยงการรับประทานกระวานเป็นยา และผู้ป่วยนิ่วถุงน้ำดีควรหลีกเลี่ยงการบริโภคกระวานในปริมาณมาก']"
Omeprazole,Fenugreek (ลูกซัด),รักษาแผลในกระเพาะอาหาร,สตรีมีครรภ์ไม่ควรรับประทาน
Furosemide,"['Tamarind(มะขาม)', 'Elderberry (เอลเดอร์เบอร์รี)']","['ใช้แทนยาขับปัสสาวะ', 'ช่วยขับปัสสาวะ']","['การบริโภคมะขามมากเกินไปอาจทำให้ท้องเสีย', 'สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม ทานได้ทั้งเด็กและผู้ใหญ่แต่ควรปรึกษาแพทย์ก่อนบริโภค']"
Prednisone,"['Kudzu (กวากเครือขาว)', 'Oregano (ออริกาโน)', 'Elderberry (เอลเดอร์เบอร์รี)', 'Moringa (มะรุม']","['ลดการอักเสบ ต่อต้านอนุมูลอิสระ', 'ลดการอักเสบ ต้านอนุมูลอิสระ ต่อต้านแบคทีเรียที่ดื้อต่อยาปฏิชีวิตนะ', 'ลดการอักเสบ', 'ลดการอักเสบ']","['ไม่ควรใช้กับผู้ที่มีอายุต่ำกว่า 20 ปี คุณแม่ตั้งครรภ์หรือกำลังให้นมบุตร ผู้ที่เป็นโรคมะเร็ง เนื้องอก ต่อมไทยรอยด์โต ซีสต์ โรคที่เกี่ยวกับมดลูกและรังไข่', 'ทำให้มีอาการปากแห้ง', 'สามารถทานได้ทั้งเด็กและผู้ใหญ่ รับประทานในปริมาณที่เหมาะสม', 'หญิงตั้งครรภ์และผู้ป่วยโรคเกาต์ไม่ควรรับประทานมากเกินไป']"
Warfarin,"['Arnica (ดอกไม้ภูเขา)', 'Kudzu (กวากเครือขาว)', 'Turmeric (ขมิ้น)']","['ต้านอักเสบและการควบคุมการไหลเวียนโลหิต', 'ขยายหลอดเลือดและเพิ่มการไหลเวียนของเลือดหัวใจ มีฤทธิ์ต้านการแข็งตัวของเลือด สามารถยับยั้งการรวมตัวของเกล็ดเลือด ลดความหนืดของเลือด', 'ชะลอกระบวนการแข็งตัวของเลือด']","['สำหรับใช้ภายนอกเท่านั้น หญิงตั้งครรภ์และให้นมบุตรไม่ควรใช้', 'ไม่ควรใช้กับผู้ที่มีอายุต่ำกว่า 20 ปี คุณแม่ตั้งครรภ์หรือกำลังให้นมบุตร ผู้ที่เป็นโรคมะเร็ง เนื้องอก ต่อมไทยรอยด์โต ซีสต์ โรคที่เกี่ยวกับมดลูกและรังไข่', 'สตรีมีครรภ์หรืออยู่ในช่วงให้นมบุตรไม่ควรรับประทานสารสกัดจากขมิ้นที่มีความเข้มข้นสูง']"
hydrochlorothiazide,Agarwood (กฤษณา),กฤษณา ใช้เนื้อไม้ บำรุงโลหิตในหัวใจ บำรุงตับและปอด แก้ลมซาง ลมอ่อนเพลีย ทำให้ชุ่มชื่นหัวใจ บำรุงกำลัง บำรุงธาตุ แก้ไข้ บำรุงโลหิต แก่นไม้ บำรุงโลหิต บำรุงหัวใจ บำรุงตับและปอด น้ำมันจากเมล็ด รักษาโรคผิวหนัง แก้โรคเรื้อน แก้มะเร็ง,แม้จะมีรายงานทางเภสัชวิทยา และพิษวิทยา ที่สนับสนุนในสรรพคุณของกฤษณา แต่อย่างไรก็ตามงานวิจัยเกี่ยวกับกฤษณายังมีน้อย และไม่มีงานวิจัยในคน จึงควรใช้ความระมัดระวังในการรับประทาน เช่น สตรีมีครรภ์ไม่ควรรับประทานหรือ ไม่ควรใช้เกินขนาดที่กำหนด หรือ ใช้ติดต่อกันเป็นระยะเวลานานจนเกินไปตลอดจนผู้ที่มีโรคประจำตัวควรปรึกษาแพทย์ก่อนใช้ เพราะอาจส่งผลกระทบต่อสุขภาพได้
